BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
4884,1,0.972602739726027,SA,75,6_35,0.83,1,62.1,82,1697,1722,4.50684931506849,4.89315068493151,1697,1796
4883,0,3.04657534246575,A,75,6_24,0.86,1,120,92,1697,1722,4.50684931506849,4.89315068493151,1697,1796
4908,0,0.0273972602739726,CH,75,6_21,1.06,1,64,75,1170,1524,9.26849315068493,6.93424657534247,1170,1524
4959,1,0.657534246575342,SA,75,8_16,1.67,1,103.1,77,1893,1788,4.36438356164384,3.46027397260274,1170,1524
4955,1,0.246575342465753,J,75,8_20,1.41,1,66,77,1598,3000,6.45479452054794,2.4958904109589,1598,3000
4935,0,0.0520547945205479,CH,75,6_21,0.82,1,67,75,1672,1797,5.04383561643836,3.7013698630137,1672,1533
4954,1,8.10958904109589,A,75,8_29,0.8,1,62,125,1672,1533,4.75616438356164,6.66575342465753,1672,1533
4954,1,8.17260273972603,A,75,8_40,0.61,1,62,125,1672,1533,4.75616438356164,6.66575342465753,1672,1533
4954,1,5.71506849315069,A,75,8_37,0.7,1,62,112,1672,1533,4.75616438356164,6.66575342465753,1672,1533
4954,1,1.19178082191781,A,75,3_82,0.85,2,67,82,1672,1533,4.75616438356164,6.66575342465753,1672,1533
4954,1,0.657534246575342,SA,75,8_17,2.15,1,67,77,1672,1533,4.75616438356164,6.66575342465753,1672,1533
4946,1,0.246575342465753,J,75,8_17,0.89,1,76,77,NA,NA,NA,NA,1580,3643
4916,0,0.0383561643835616,CH,75,6_34,0.91,1,76,75,1580,1542,6.18356164383562,6.88493150684932,1580,3643
4914,1,0.0383561643835616,CH,75,8_6,0.53,1,76,75,1580,1542,6.18356164383562,6.88493150684932,1580,3643
4947,1,0.246575342465753,J,75,8_20,1.09,1,77,77,NA,NA,NA,NA,1865,1018
4947,1,2.25205479452055,A,75,8_11,0.45,1,54,90,NA,NA,NA,NA,1865,1018
4887,1,1.96438356164384,A,75,3_88,0.73,2,78,87,NA,NA,NA,NA,1790,1731
4878,0,0.246575342465753,J,75,7_20,0.66,1,78,75,NA,NA,NA,NA,1790,1731
4887,1,2.43013698630137,A,75,6_24,0.8,1,78,90,NA,NA,NA,NA,1790,1731
4887,1,2.92602739726027,A,75,3_61,0.91,2,51.2,92,NA,NA,NA,NA,1790,1731
4887,1,4.00547945205479,A,75,6_27,0.47,1,51.2,104,NA,NA,NA,NA,1790,1731
